product_code,product_name,ingredient
643310030,"엠파맥스엠서방정12.5/1000밀리그램(엠파글리플로진,메트포르민)_(1정)",metformin
646005520,"엠파글엠정5/850밀리그램(엠파글리플로진, 메트포르민염산염)_(1정)",metformin
643606750,"시타다파엠서방정5/50/1000밀리그램(다파글리플로진,시타글립틴,메트포르민)_(1정)",sitagliptin
52600021,아이맥스이오헥솔350주_(37.75g/50mL),iohexol
643508590,다파론듀오서방정10/1000밀리그램_(1정),dapagliflozin bis
671707360,트라케이듀오정2.5/1000밀리그램_(1정),linagliptin
645406150,테네필플러스서방정10/500밀리그램_(1정),teneligliptin
648104110,리타메진정2.5/1000밀리그램_(1정),metformin
694003980,포시다파엠서방정10/1000밀리그램_(1정),metformin
670501860,글루포민서방정500mg(메트포르민염산염)_(0.5g/1정),metformin
669806270,테리아엠서방정20/1000밀리그램_(1정),metformin
646005540,"엠파글엠정5/500밀리그램(엠파글리플로진, 메트포르민염산염)_(1정)",metformin
52600022,아이맥스이오헥솔350주_(75.5g/100mL),iohexol
654006060,다파릴듀오서방정10/500밀리그램_(1정),metformin
642707410,"다플디엠메트서방정10/1000밀리그램(다파글리플로진프로판디올수화물,메트포르민염산염)_(1정)",dapagliflozin
653404390,로수탄메트정500/5밀리그램_(1정),rosuvastatin
643705600,"글리앙듀오정12.5/1000밀리그램(엠파글리플로진, 메트포르민염산염)_(1정)",metformin
645307200,"엠파로엠정5/500밀리그램(엠파글리플로진,메트포르민염산염)_(1정)",empagliflozin
641706500,"다파이제서방정10/1000밀리그램(다파글리플로진,메트포르민)_(1정)",metformin
641908360,"트루리나엠서방정2.5/1000밀리그램(리나글립틴,메트포르민)_(1정)",linagliptin
657308870,다파프로진메트서방정10/1000밀리그램_(1정),metformin
52600023,아이맥스이오헥솔350주_(94.375g/125mL),iohexol
647805940,"엠포진듀오서방정25/1000밀리그램(엠파글리플로진,메트포르민)_(1정)",empagliflozin
653405620,"리나칸메트서방정2.5/1000밀리그램(리나글립틴(미분화),메트포르민염산염)_(1정)",metformin
657308940,리나탑듀오정2.5/500밀리그램_(1정),metformin
643309190,엑시글루엠서방정5/1000밀리그램_(1정),metformin
643310260,"듀비엠폴서방정0.25/12.5/1000밀리그램(로베글리타존,엠파글리플로진,메트포르민)_(1정)",lobeglitazone
643700860,글라비스서방정500밀리그람(메트포르민염산염)_(0.5g/1정),metformin
653501400,트라젠타듀오정2.5/850밀리그램_(1정),linagliptin
669908390,"리포민듀오서방정5/1000밀리그램(리나글립틴, 메트포르민염산염)_(1정)",linagliptin
52600024,아이맥스이오헥솔350주_(113.25g/150mL),iohexol
661700530,글루코파지정1000밀리그램(메트포르민염산염)_(1g/1정),metformin
649105910,리나젠타듀오정2.5/500mg_(1정),metformin
694004300,"자누플로멧서방정5/50/1000밀리그램(다파글리플로진,시타글립틴,메트포르민)_(1정)",dapagliflozin
670609440,"휴시글로엠서방정10/100/1000밀리그램(다파글리플로진, 시타글립틴, 메트포르민)_(1정)",metformin
653007070,"파마엠파로우듀오정12.5/850밀리그램(엠파글리플로진, 메트포르민염산염)_(1정)",metformin
52600026,아이맥스이오헥솔350주_(377.5g/500mL),iohexol
649105920,리나젠타듀오정2.5/1000mg_(1정),linagliptin
654004070,글루파민서방정500밀리그램(메트포르민염산염)_(0.5g/1정),metformin
642507880,"엠파프로메트서방정12.5/1000밀리그램(엠파글리플로진,메트포르민)_(1정)",empagliflozin
653405790,"시타칸다플메트서방정10/100/1000밀리그램(다파글리플로진,시타글립틴,메트포르민)_(1정)",dapagliflozin
693904000,"네시나메트서방정25/1000밀리그램(알로글립틴,메트포르민염산염)_(1정)",metformin
646005680,"다파글엠서방정10/1000밀리그램(다파글리플로진프로판디올수화물,메트포르민염산염)_(1정)",dapagliflozin
648902991,화이자메토트렉세이트주5g_(5g/50mL),methotrexate
53300170,록캄캡슐(멜록시캄)_(7.5mg/1캡슐),meloxicam
655501910,녹사필장용정100밀리그램(포사코나졸(미분화))_(0.1g/1정),posaconazole
53301050,자바렐토정10밀리그램(리바록사반)_(10mg/1정),rivaroxaban
698505080,트라졸정(이트라코나졸고체분산체)_(0.253g/1정),itraconazole
53301060,자바렐토정15밀리그램(리바록사반)_(15mg/1정),rivaroxaban
670101490,에스코졸정(이트라코나졸고체분산체)_(0.253g/1정),itraconazole
661904510,이트라녹스정(이트라코나졸고체분산체)_(0.253g/1정),itraconazole
